Tanggal;Terinfeksi;Sembuh;Meninggal;Total Kasus;Removed;Died
02/03/2021;1351;8024;197;9572;268;3
02/04/2021;1103;8452;202;9757;428;5
02/05/2021;1103;8452;202;9757;0;0
02/06/2021;1227;8591;203;10021;139;1
02/07/2021;1293;8597;206;10096;6;3
02/08/2021;1249;8719;207;10175;122;1
02/09/2021;1249;8719;207;10175;0;0
02/10/2021;982;9136;208;10326;417;1
02/11/2021;995;9275;215;10485;139;7
02/12/2021;890;9516;216;10622;241;1
2/13/2021;1003;9520;216;10739;4;0
2/14/2021;1003;9520;216;10739;0;0
2/15/2021;1108;9613;218;10939;93;2
2/16/2021;875;10021;224;11120;408;6
2/17/2021;988;10064;225;11277;43;1
2/18/2021;988;10064;225;11277;0;0
2/19/2021;897;10314;228;11439;250;3
2/20/2021;861;10410;228;11499;96;0
2/21/2021;946;10434;229;11612;24;1
2/22/2021;1055;10434;233;11722;0;4
2/23/2021;1055;10434;233;11722;0;0
2/24/2021;1049;10784;241;12074;350;8
2/25/2021;1205;10846;242;12293;62;1
2/26/2021;1187;11054;242;12483;208;0
2/27/2021;1187;11054;242;12483;0;0
2/28/2021;1319;11141;244;12704;87;2
03/01/2021;1379;11219;244;12842;78;0
03/02/2021;1166;11556;246;12968;337;2
03/03/2021;1183;11664;246;13093;108;0
03/04/2021;1183;11664;246;13093;0;0
03/05/2021;1198;11929;251;13378;265;5
03/06/2021;1143;12071;251;13465;142;0
03/07/2021;1192;12110;253;13555;39;2
03/08/2021;1192;12110;253;13555;0;0
03/09/2021;1204;12288;255;13747;178;2
03/10/2021;1276;12295;255;13826;7;0
03/11/2021;978;12683;255;13916;388;0
03/12/2021;978;12683;255;13916;0;0
3/13/2021;943;12947;257;14147;264;2
3/14/2021;906;13062;258;14226;115;1
3/15/2021;958;13102;260;14320;40;2
3/16/2021;1002;13126;262;14390;24;2
3/17/2021;1002;13126;262;14390;0;0
3/18/2021;867;13457;265;14589;331;3
3/19/2021;854;13541;265;14660;84;0
3/20/2021;905;13553;266;14724;12;1
3/21/2021;905;13553;266;14724;0;0
3/22/2021;735;13842;267;14844;289;1
3/23/2021;778;13855;268;14901;13;1
3/24/2021;743;13953;268;14964;98;0
3/25/2021;715;14048;268;15031;95;0
3/26/2021;715;14048;268;15031;0;0
3/27/2021;618;14270;269;15157;222;1
3/28/2021;693;14285;271;15249;15;2
3/29/2021;717;14333;271;15321;48;0
3/30/2021;717;14333;271;15321;0;0
3/31/2021;679;14494;271;15444;161;0
04/01/2021;694;14538;273;15505;44;2
04/02/2021;720;14614;273;15607;76;0
04/03/2021;759;14614;273;15646;0;0
04/04/2021;759;14614;273;15646;0;0
04/05/2021;671;14779;279;15729;165;6
04/06/2021;720;14800;280;15800;21;1
04/07/2021;638;14932;280;15850;132;0
04/08/2021;638;14932;280;15850;0;0
04/09/2021;665;15011;282;15958;79;2
04/10/2021;715;15041;283;16039;30;1
04/11/2021;746;15068;284;16098;27;1
04/12/2021;746;15068;284;16098;0;0
4/13/2021;660;15268;285;16213;200;1
4/14/2021;679;15304;285;16268;36;0
4/15/2021;718;15327;286;16331;23;1
4/16/2021;752;15355;286;16393;28;0
4/17/2021;752;15355;286;16393;0;0
4/18/2021;755;15538;286;16579;183;0
4/19/2021;669;15686;286;16641;148;0
4/20/2021;708;15744;291;16743;58;5
4/21/2021;708;15744;291;16743;0;0
4/22/2021;758;15781;291;16830;37;0
4/23/2021;794;15788;291;16873;7;0
4/24/2021;629;16024;292;16945;236;1
4/25/2021;694;16028;292;17014;4;0
4/26/2021;694;16028;292;17014;0;0
4/27/2021;777;16051;294;17122;23;2
4/28/2021;723;16187;294;17204;136;0
4/29/2021;623;16389;294;17306;202;0
4/30/2021;623;16389;294;17306;0;0
05/01/2021;792;16414;295;17501;25;1
05/02/2021;833;16415;297;17545;1;2
05/03/2021;840;16442;298;17580;27;1
05/04/2021;895;16446;300;17641;4;2
05/05/2021;895;16446;300;17641;0;0
05/06/2021;872;16593;301;17766;147;1
05/07/2021;913;16635;303;17851;42;2
05/08/2021;707;16935;304;17946;300;1
05/09/2021;707;16935;304;17946;0;0
05/10/2021;656;17087;305;18048;152;1
05/11/2021;605;17191;305;18101;104;0
05/12/2021;622;17246;306;18174;55;1
5/13/2021;687;17252;307;18246;6;1
5/14/2021;687;17252;307;18246;0;0
5/15/2021;798;17261;309;18368;9;2
5/16/2021;745;17341;317;18403;80;8
5/17/2021;621;17512;317;18450;171;0
5/18/2021;621;17512;317;18450;0;0
5/19/2021;514;17776;323;18613;264;6
5/20/2021;517;17821;324;18662;45;1
